ID,glc__D_e,xyl__D_e,succ_e,ala__L_e,arg__L_e,asn__L_e,asp__L_e,cys__L_e,glu__L_e,gln__L_e,gly_e,his__L_e,ile__L_e,leu__L_e,lys__L_e,met__L_e,phe__L_e,pro__L_e,ser__L_e,thr__L_e,trp__L_e,tyr__L_e,val__L_e,ade_e,gua_e,csn_e,ura_e,thymd_e
128,0,53.28715114,0,0,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0.4,0,0,0,0.1,0.2,0,0.2,0.2,0.2,0.2,0.2
129,0,53.28715114,0,0,5.2,0,0,0.1,0,0,0.8,0,0.4,0.8,0,0.2,0,0.4,10,0.4,0,0,0.6,0,0,0,0,0
130,0,53.28715114,0,0,0,0,0,0.1,0.55,0.615,0.8,0.2,0,0,0.5,0.2,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
131,0,53.28715114,0,0,0,0,0,0.1,0.55,0.615,0.8,0.2,0.4,0.8,0.5,0.2,0.4,0,10,0.4,0.1,0.2,0.6,0,0,0,0,0
132,0,53.28715114,0,0,5.2,0,0,0.1,0.55,0.615,0.8,0.2,0.4,0.8,0.5,0.2,0.4,0.4,10,0.4,0.1,0.2,0.6,0,0,0,0,0
133,0,53.28715114,0,0,0,0,0,0.1,0.55,0.615,0.8,0.2,0,0,0.5,0.2,0.4,0,10,0.4,0.1,0.2,0,0.2,0.2,0.2,0.2,0.2
134,0,53.28715114,0,0.8,0,0.4,0.4,0,0.55,0.615,0.8,0.2,0,0,0.5,0,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
135,0,53.28715114,0,0.8,0,0.4,0.4,0.1,0.55,0.615,0.8,0.2,0,0,0.5,0.2,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
136,0,53.28715114,0,0.8,0,0.4,0.4,0.1,0.55,0.615,0.8,0.2,0.4,0.8,0.5,0.2,0.4,0,10,0.4,0.1,0.2,0.6,0,0,0,0,0
137,0,53.28715114,0,0,5.2,0,0,0,0.55,0.615,0.8,0,0.4,0.8,0,0,0,0.4,10,0.4,0,0,0.6,0,0,0,0,0
138,0,53.28715114,0,0,5.2,0,0,0,0.55,0.615,0.8,0,0.4,0.8,0,0,0.4,0.4,10,0.4,0.1,0.2,0.6,0,0,0,0,0
139,0,53.28715114,0,0,5.2,0,0,0,0.55,0.615,0.8,0.2,0.4,0.8,0.5,0,0.4,0.4,10,0.4,0.1,0.2,0.6,0,0,0,0,0
140,0,53.28715114,0,0,5.2,0,0,0,0.55,0.615,0.8,0,0.4,0.8,0,0,0,0.4,10,0.4,0,0,0.6,0.2,0.2,0.2,0.2,0.2
141,0,53.28715114,0,0,0,0,0,0.1,0.55,0.615,0.8,0.2,0,0,0.5,0.2,0,0,10,0.4,0,0,0,0,0,0,0,0
142,0,53.28715114,0,0,0,0,0,0.1,0.55,0.615,0.8,0,0,0,0,0.2,0,0,10,0.4,0,0,0,0,0,0,0,0
143,0,53.28715114,0,0,5.2,0,0,0,0.55,0.615,0.8,0,0,0,0,0,0,0.4,10,0.4,0,0,0,0,0,0,0,0
144,0,53.28715114,0,0,0,0,0,0,0.55,0.615,0.8,0,0,0,0,0,0,0,10,0.4,0,0,0,0,0,0,0,0
145,0,53.28715114,0,0.8,0,0.4,0.4,0,0,0,0.8,0,0,0,0,0,0,0,10,0.4,0,0,0,0,0,0,0,0
146,0,53.28715114,0,0.8,0,0.4,0.4,0,0.55,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,53.28715114,0,0,0,0,0,0,0.55,0.615,0.8,0,0,0,0,0,0,0,10,0.4,0,0,0,0.2,0.2,0.2,0.2,0.2
148,0,53.28715114,0,0.8,0,0.4,0.4,0,0,0,0.8,0,0,0,0,0,0,0,10,0.4,0,0,0,0.2,0.2,0.2,0.2,0.2
149,0,53.28715114,0,0.8,0,0.4,0.4,0,0.55,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2
150,0,53.28715114,0,0.8,0,0.4,0.4,0,0,0,0.8,0.2,0,0,0.5,0,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
151,0,53.28715114,0,0.8,0,0.4,0.4,0.1,0,0,0.8,0.2,0,0,0.5,0.2,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
